# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
246=2,4,37;3,4,37;3,4,38;3,4,39;3,5,39
247=0,5,37;0,5,38;1,5,38;2,4,38;2,5,38
248=2,7,39;3,6,37;3,7,37;3,7,38;3,7,39
249=0,0,38;0,0,39;0,0,40;0,1,38;1,0,40
250=1,0,38;1,1,38;1,2,38;1,2,39;2,0,38
251=1,0,39;1,1,39;2,0,39;3,0,38;3,0,39
252=0,6,38;0,6,39;1,6,38;2,6,38;2,7,38
253=1,6,39;1,7,39;2,6,39;3,6,38;3,6,39
254=0,6,40;0,7,38;0,7,39;0,7,40;1,7,38
255=0,1,39;0,1,40;0,2,40;0,3,40;1,3,40
256=1,1,40;1,2,40;2,1,40;3,1,39;3,1,40
257=0,2,39;0,3,39;1,3,39;2,3,39;2,3,40
258=2,3,41;3,2,39;3,3,39;3,3,40;3,3,41
259=0,4,39;0,4,40;1,4,39;2,4,39;2,5,39
260=0,4,41;0,5,39;0,5,40;0,5,41;1,5,39
261=2,0,40;3,0,40;3,0,41;3,0,42;3,1,42
262=2,1,42;2,2,40;2,2,41;2,2,42;3,2,40
263=1,4,40;1,5,40;2,5,40;3,5,40;3,5,41
264=2,4,40;3,4,40;3,4,41;3,4,42;3,5,42
265=1,6,40;1,7,40;2,7,40;3,7,40;3,7,41
266=2,6,40;3,6,40;3,6,41;3,6,42;3,7,42
267=0,0,41;0,0,42;0,0,43;0,1,41;1,0,43
268=0,2,41;1,0,41;1,0,42;1,1,41;1,2,41
269=2,0,41;2,0,42;2,0,43;2,1,41;3,0,43
270=2,2,43;3,1,41;3,2,41;3,2,42;3,2,43
271=0,2,43;0,3,41;0,3,42;0,3,43;1,3,41
272=1,4,41;1,5,41;1,6,41;1,6,42;2,4,41
273=1,6,43;2,5,41;2,6,41;2,6,42;2,6,43
274=0,6,41;0,7,41;1,7,41;2,7,41;2,7,42
275=0,1,42;0,1,43;0,1,44;0,2,42;1,1,44
276=1,1,42;1,1,43;1,2,43;1,3,43;2,3,43
277=1,2,42;1,3,42;2,3,42;3,3,42;3,3,43
278=0,4,42;0,4,43;1,4,42;2,4,42;2,5,42
279=0,4,44;0,5,42;0,5,43;0,5,44;1,5,42
280=0,6,42;0,6,43;0,6,44;0,7,42;1,6,44
281=1,7,42;1,7,43;2,7,43;3,6,43;3,7,43
282=2,1,43;3,1,43;3,1,44;3,1,45;3,2,45
283=1,4,43;1,4,44;2,4,43;3,4,43;3,5,43
284=1,4,45;1,5,43;1,5,44;1,5,45;2,5,43
285=0,7,43;0,7,44;1,7,44;2,6,44;2,7,44
286=0,0,44;1,0,44;1,0,45;1,0,46;1,1,46
287=2,0,44;2,1,44;2,2,44;2,2,45;3,0,44
288=0,1,46;0,2,44;0,2,45;0,2,46;1,2,44
289=2,3,46;3,2,44;3,3,44;3,3,45;3,3,46
290=0,3,44;0,3,45;1,3,44;2,3,44;2,4,44
291=2,5,46;3,4,44;3,5,44;3,5,45;3,5,46
292=1,3,45;2,3,45;2,4,45;2,5,44;2,5,45
293=2,7,46;3,6,44;3,7,44;3,7,45;3,7,46
294=0,0,45;0,1,45;1,1,45;2,1,45;2,1,46
295=2,0,45;3,0,45;3,0,46;3,0,47;3,1,47
296=1,2,45;1,2,46;2,2,46;3,1,46;3,2,46
297=0,4,45;0,4,46;0,4,47;0,5,45;1,4,47
